scraped_org_name,source_type,source_name,role,source_url,verified_nonprofit,propublica_ein,propublica_org_name
Connecticut Land Conservation Council,trade_group,Land Trust Alliance,State Association Affiliate,https://landtrustalliance.org/resources/connect/affiliates,,,
Conservation and Community Consultants,trade_group,Land Trust Alliance,Professional Affiliate,https://landtrustalliance.org/resources/connect/affiliates,,,
Conservation Burial Alliance,trade_group,Land Trust Alliance,Nonprofit Affiliate,https://landtrustalliance.org/resources/connect/affiliates,,,
"Conservation Law, P.C.",trade_group,Land Trust Alliance,Professional Affiliate,https://landtrustalliance.org/resources/connect/affiliates,,,
"Conservation Office, City & County of Honolulu, Dept. of Housing and Land Management",trade_group,Land Trust Alliance,Government Affiliation,https://landtrustalliance.org/resources/connect/affiliates,,,
Conservation Partners LLP,trade_group,Land Trust Alliance,Professional Affiliate,https://landtrustalliance.org/resources/connect/affiliates,,,
Conservation Tax Credit Transfer,trade_group,Land Trust Alliance,Professional Affiliate,https://landtrustalliance.org/resources/connect/affiliates,,,
Conserve Utah Valley,trade_group,Land Trust Alliance,Nonprofit Affiliate,https://landtrustalliance.org/resources/connect/affiliates,,,
County of Placer,trade_group,Land Trust Alliance,Government Affiliation,https://landtrustalliance.org/resources/connect/affiliates,,,
Detroit Future City,trade_group,Land Trust Alliance,Nonprofit Affiliate,https://landtrustalliance.org/resources/connect/affiliates,,,
"Development for Conservation, LLC",trade_group,Land Trust Alliance,Professional Affiliate,https://landtrustalliance.org/resources/connect/affiliates,,,
Drummond Woodsum,trade_group,Land Trust Alliance,Professional Affiliate,https://landtrustalliance.org/resources/connect/affiliates,false,,
Duke Farms,trade_group,Land Trust Alliance,Nonprofit Affiliate,https://landtrustalliance.org/resources/connect/affiliates,,,
Durham County Open Space and Real Estate,trade_group,Land Trust Alliance,Government Affiliation,https://landtrustalliance.org/resources/connect/affiliates,,,
East Bay Regional Park District,trade_group,Land Trust Alliance,Government Affiliation,https://landtrustalliance.org/resources/connect/affiliates,,,
East Multnomah Soil & Water Conservation District,trade_group,Land Trust Alliance,Government Affiliation,https://landtrustalliance.org/resources/connect/affiliates,,,
"Ecological Gifts Program, Environment and Climate Change Canada",trade_group,Land Trust Alliance,Government Affiliation,https://landtrustalliance.org/resources/connect/affiliates,,,
Ecopixel,trade_group,Land Trust Alliance,Professional Affiliate,https://landtrustalliance.org/resources/connect/affiliates,,,
Edward J. Heisel Attorney,trade_group,Land Trust Alliance,Professional Affiliate,https://landtrustalliance.org/resources/connect/affiliates,false,,
"F. Michelle Halley, Attorney P.C.",trade_group,Land Trust Alliance,Professional Affiliate,https://landtrustalliance.org/resources/connect/affiliates,,,
"Fauquier County Government, Conservation Easement Program",trade_group,Land Trust Alliance,Government Affiliation,https://landtrustalliance.org/resources/connect/affiliates,,,
Fidelity Foundation,trade_group,Land Trust Alliance,Nonprofit Affiliate,https://landtrustalliance.org/resources/connect/affiliates,,,
Forest Preserve District of DuPage County,trade_group,Land Trust Alliance,Government Affiliation,https://landtrustalliance.org/resources/connect/affiliates,,,
Friends of Discovery Park,trade_group,Land Trust Alliance,Nonprofit Affiliate,https://landtrustalliance.org/resources/connect/affiliates,true,911409342,Friends Of Discovery Park
Friends of the Great Swamp,trade_group,Land Trust Alliance,Nonprofit Affiliate,https://landtrustalliance.org/resources/connect/affiliates,,,
Gathering Waters: Wisconsin's Alliance for Land Trusts,trade_group,Land Trust Alliance,State Association Affiliate,https://landtrustalliance.org/resources/connect/affiliates,,,
Grant & Lyons LLP,trade_group,Land Trust Alliance,Professional Affiliate,https://landtrustalliance.org/resources/connect/affiliates,,,
Great Outdoors Colorado,trade_group,Land Trust Alliance,Government Affiliation,https://landtrustalliance.org/resources/connect/affiliates,,,
"Gregory Penkowsky, Attorney",trade_group,Land Trust Alliance,Professional Affiliate,https://landtrustalliance.org/resources/connect/affiliates,,,
Heart of the Rockies Initiative,trade_group,Land Trust Alliance,State Association Affiliate,https://landtrustalliance.org/resources/connect/affiliates,true,463635624,Heart Of The Rockies Initiative
Highstead Foundation,trade_group,Land Trust Alliance,Nonprofit Affiliate,https://landtrustalliance.org/resources/connect/affiliates,,,
Hill Country Alliance,trade_group,Land Trust Alliance,Nonprofit Affiliate,https://landtrustalliance.org/resources/connect/affiliates,,,
Idaho Coalition of Land Trusts,trade_group,Land Trust Alliance,State Association Affiliate,https://landtrustalliance.org/resources/connect/affiliates,,,
Indiana Land Protection Alliance,trade_group,Land Trust Alliance,State Association Affiliate,https://landtrustalliance.org/resources/connect/affiliates,,,
iSportsman,trade_group,Land Trust Alliance,Professional Affiliate,https://landtrustalliance.org/resources/connect/affiliates,,,
James City County Community Development,trade_group,Land Trust Alliance,Government Affiliation,https://landtrustalliance.org/resources/connect/affiliates,,,
"K. Tyson Law, PLLC",trade_group,Land Trust Alliance,Professional Affiliate,https://landtrustalliance.org/resources/connect/affiliates,,,
Kansas Alliance for Wetlands and Streams,trade_group,Land Trust Alliance,Nonprofit Affiliate,https://landtrustalliance.org/resources/connect/affiliates,true,43783861,Kansas Alliance For Wetlands And Streams Inc
Kaplan Kirsch LLP,trade_group,Land Trust Alliance,Professional Affiliate,https://landtrustalliance.org/resources/connect/affiliates,,,
Keep It Colorado,trade_group,Land Trust Alliance,State Association Affiliate,https://landtrustalliance.org/resources/connect/affiliates,,,
Keith Fountain Law PLLC,trade_group,Land Trust Alliance,Professional Affiliate,https://landtrustalliance.org/resources/connect/affiliates,,,
Lake County Forest Preserve District,trade_group,Land Trust Alliance,Government Affiliation,https://landtrustalliance.org/resources/connect/affiliates,,,
"Land and Water Connections Consulting, LLC",trade_group,Land Trust Alliance,Professional Affiliate,https://landtrustalliance.org/resources/connect/affiliates,,,
"Land Conservation Program, Division of Lands Administration and Recreation, State of Vermont",trade_group,Land Trust Alliance,Government Affiliation,https://landtrustalliance.org/resources/connect/affiliates,,,
Land Matters LLC,trade_group,Land Trust Alliance,Professional Affiliate,https://landtrustalliance.org/resources/connect/affiliates,,,
Land Trust Alliance of British Columbia,trade_group,Land Trust Alliance,State Association Affiliate,https://landtrustalliance.org/resources/connect/affiliates,false,,
Lands Trails and Parks LLC,trade_group,Land Trust Alliance,Professional Affiliate,https://landtrustalliance.org/resources/connect/affiliates,,,
Landscape Land Conservation Software,trade_group,Land Trust Alliance,Professional Affiliate,https://landtrustalliance.org/resources/connect/affiliates,,,
Law Office of Robert L. Besanceney,trade_group,Land Trust Alliance,Professional Affiliate,https://landtrustalliance.org/resources/connect/affiliates,,,
Law Office of Robert Sweeney,trade_group,Land Trust Alliance,Professional Affiliate,https://landtrustalliance.org/resources/connect/affiliates,,,
"Law Offices of Allan C. Beezley, P.C.",trade_group,Land Trust Alliance,Professional Affiliate,https://landtrustalliance.org/resources/connect/affiliates,,,
Law Offices of Robin Jepsen,trade_group,Land Trust Alliance,Professional Affiliate,https://landtrustalliance.org/resources/connect/affiliates,,,
LegacyWorks Group,trade_group,Land Trust Alliance,Professional Affiliate,https://landtrustalliance.org/resources/connect/affiliates,,,
Luminary Works,trade_group,Land Trust Alliance,Nonprofit Affiliate,https://landtrustalliance.org/resources/connect/affiliates,,,
Lyme Timber Company,trade_group,Land Trust Alliance,Professional Affiliate,https://landtrustalliance.org/resources/connect/affiliates,,,
Magnolia Land Partners,trade_group,Land Trust Alliance,Professional Affiliate,https://landtrustalliance.org/resources/connect/affiliates,,,
Massachusetts Land Trust Coalition,trade_group,Land Trust Alliance,State Association Affiliate,https://landtrustalliance.org/resources/connect/affiliates,,,
Metamorphic Consulting,trade_group,Land Trust Alliance,Professional Affiliate,https://landtrustalliance.org/resources/connect/affiliates,,,
Missoula County Community and Planning Services,trade_group,Land Trust Alliance,Government Affiliation,https://landtrustalliance.org/resources/connect/affiliates,false,,
Montana Association of Land Trusts,trade_group,Land Trust Alliance,State Association Affiliate,https://landtrustalliance.org/resources/connect/affiliates,,,
Naperala Consulting LLC,trade_group,Land Trust Alliance,Professional Affiliate,https://landtrustalliance.org/resources/connect/affiliates,,,
Native American Educational Technologies,trade_group,Land Trust Alliance,Nonprofit Affiliate,https://landtrustalliance.org/resources/connect/affiliates,true,391970895,Native American Educational Technologies Inc
Nature Conservancy of Canada,trade_group,Land Trust Alliance,Nonprofit Affiliate,https://landtrustalliance.org/resources/connect/affiliates,,,
NC Department of Agriculture & Consumer Services- Farmland Preservation Division,trade_group,Land Trust Alliance,Government Affiliation,https://landtrustalliance.org/resources/connect/affiliates,,,
NC DNCR Division of Land and Water Stewardship,trade_group,Land Trust Alliance,Government Affiliation,https://landtrustalliance.org/resources/connect/affiliates,,,
"Neilson, Smith, Dietrich, PLLC",trade_group,Land Trust Alliance,Professional Affiliate,https://landtrustalliance.org/resources/connect/affiliates,,,
"NH Department of Environmental Services, Source Water Protection Program",trade_group,Land Trust Alliance,Government Affiliation,https://landtrustalliance.org/resources/connect/affiliates,,,
"Northern Plains Appraisal, L.L.C.",trade_group,Land Trust Alliance,Professional Affiliate,https://landtrustalliance.org/resources/connect/affiliates,,,
"Open Land Law, PLLC",trade_group,Land Trust Alliance,Professional Affiliate,https://landtrustalliance.org/resources/connect/affiliates,,,
Oregon Watershed Enhancement Board,trade_group,Land Trust Alliance,Government Affiliation,https://landtrustalliance.org/resources/connect/affiliates,false,,
Pacific Crest Trail Association,trade_group,Land Trust Alliance,Nonprofit Affiliate,https://landtrustalliance.org/resources/connect/affiliates,,,
Partnership for Gulf Coast Land Conservation,trade_group,Land Trust Alliance,State Association Affiliate,https://landtrustalliance.org/resources/connect/affiliates,,,
Partnership of Rangeland Trusts,trade_group,Land Trust Alliance,State Association Affiliate,https://landtrustalliance.org/resources/connect/affiliates,,,
Pitkin County Open Space & Trails,trade_group,Land Trust Alliance,Government Affiliation,https://landtrustalliance.org/resources/connect/affiliates,,,
Plauche and Carr LLP,trade_group,Land Trust Alliance,Professional Affiliate,https://landtrustalliance.org/resources/connect/affiliates,,,
Pleasant River Wildlife Foundation,trade_group,Land Trust Alliance,Nonprofit Affiliate,https://landtrustalliance.org/resources/connect/affiliates,,,
Potrero Group,trade_group,Land Trust Alliance,Professional Affiliate,https://landtrustalliance.org/resources/connect/affiliates,,,
Prairie State Conservation Coalition,trade_group,Land Trust Alliance,State Association Affiliate,https://landtrustalliance.org/resources/connect/affiliates,,,
"Ransmeier & Spellman, P.C.",trade_group,Land Trust Alliance,Professional Affiliate,https://landtrustalliance.org/resources/connect/affiliates,,,
RAPID 5,trade_group,Land Trust Alliance,Nonprofit Affiliate,https://landtrustalliance.org/resources/connect/affiliates,,,
Rhode Island Land Trust Council,trade_group,Land Trust Alliance,State Association Affiliate,https://landtrustalliance.org/resources/connect/affiliates,,,
RJP Consulting,trade_group,Land Trust Alliance,Professional Affiliate,https://landtrustalliance.org/resources/connect/affiliates,,,
"Rowley & Associates, P.C.",trade_group,Land Trust Alliance,Professional Affiliate,https://landtrustalliance.org/resources/connect/affiliates,,,
San Juan County Land Bank,trade_group,Land Trust Alliance,Government Affiliation,https://landtrustalliance.org/resources/connect/affiliates,,,
Santa Clara Valley Open Space Authority,trade_group,Land Trust Alliance,Government Affiliation,https://landtrustalliance.org/resources/connect/affiliates,,,
Shadbush Consulting LLC,trade_group,Land Trust Alliance,Professional Affiliate,https://landtrustalliance.org/resources/connect/affiliates,,,
"Shute, Mihaly & Weinberger LLP",trade_group,Land Trust Alliance,Professional Affiliate,https://landtrustalliance.org/resources/connect/affiliates,,,
Singing Stream Conservation Consultants,trade_group,Land Trust Alliance,Professional Affiliate,https://landtrustalliance.org/resources/connect/affiliates,,,
Sonoma County Ag + Open Space,trade_group,Land Trust Alliance,Government Affiliation,https://landtrustalliance.org/resources/connect/affiliates,,,
South Carolina Land Trust Network,trade_group,Land Trust Alliance,State Association Affiliate,https://landtrustalliance.org/resources/connect/affiliates,,,
Stafford Rosenbaum LLP,trade_group,Land Trust Alliance,Professional Affiliate,https://landtrustalliance.org/resources/connect/affiliates,,,
State of Hawaii Legacy Land Conservation Program,trade_group,Land Trust Alliance,Government Affiliation,https://landtrustalliance.org/resources/connect/affiliates,,,
"State of NM Energy, Minerals, and Natural Resources Department - Forestry Div",trade_group,Land Trust Alliance,Government Affiliation,https://landtrustalliance.org/resources/connect/affiliates,,,
"Stites & Harbison, PLLC",trade_group,Land Trust Alliance,Professional Affiliate,https://landtrustalliance.org/resources/connect/affiliates,,,
Strong Outcomes LLC,trade_group,Land Trust Alliance,Professional Affiliate,https://landtrustalliance.org/resources/connect/affiliates,,,
"Sue Andra Gallagher, Attorney at Law",trade_group,Land Trust Alliance,Professional Affiliate,https://landtrustalliance.org/resources/connect/affiliates,false,,
Tancig Law PLLC,trade_group,Land Trust Alliance,Professional Affiliate,https://landtrustalliance.org/resources/connect/affiliates,,,
Terradex,trade_group,Land Trust Alliance,Professional Affiliate,https://landtrustalliance.org/resources/connect/affiliates,,,
Texas Land Trust Council,trade_group,Land Trust Alliance,State Association Affiliate,https://landtrustalliance.org/resources/connect/affiliates,,,
"The Compact of Cape Cod Conservation Trusts, Inc.",trade_group,Land Trust Alliance,State Association Affiliate,https://landtrustalliance.org/resources/connect/affiliates,,,
The Conservation Law Center,trade_group,Land Trust Alliance,Nonprofit Affiliate,https://landtrustalliance.org/resources/connect/affiliates,,,
The National Park Foundation,trade_group,Land Trust Alliance,Nonprofit Affiliate,https://landtrustalliance.org/resources/connect/affiliates,false,,
Tulare Basin Watershed Partnership,trade_group,Land Trust Alliance,Nonprofit Affiliate,https://landtrustalliance.org/resources/connect/affiliates,,,
UGA Law Land Conservation Clinic,trade_group,Land Trust Alliance,Government Affiliation,https://landtrustalliance.org/resources/connect/affiliates,,,
"Utah Department of Agriculture & Food, Land Conservation Program",trade_group,Land Trust Alliance,Government Affiliation,https://landtrustalliance.org/resources/connect/affiliates,,,
"Vallier Law, LLC",trade_group,Land Trust Alliance,Professional Affiliate,https://landtrustalliance.org/resources/connect/affiliates,,,
"Virginia Department of Forestry, Office of Working Lands Preservation",trade_group,Land Trust Alliance,Government Affiliation,https://landtrustalliance.org/resources/connect/affiliates,,,
Virginia Outdoors Foundation,trade_group,Land Trust Alliance,Government Affiliation,https://landtrustalliance.org/resources/connect/affiliates,true,992804443,Virginia Outdoor Foundation Incorporated
Virginia's United Land Trusts,trade_group,Land Trust Alliance,State Association Affiliate,https://landtrustalliance.org/resources/connect/affiliates,,,
Washington Association of Land Trusts,trade_group,Land Trust Alliance,State Association Affiliate,https://landtrustalliance.org/resources/connect/affiliates,,,
"Washington County, Land and Water Legacy Program",trade_group,Land Trust Alliance,Government Affiliation,https://landtrustalliance.org/resources/connect/affiliates,,,
Washington State Conservation Commission,trade_group,Land Trust Alliance,Government Affiliation,https://landtrustalliance.org/resources/connect/affiliates,,,
WeConservePA,trade_group,Land Trust Alliance,State Association Affiliate,https://landtrustalliance.org/resources/connect/affiliates,,,
Westervelt Ecological Services,trade_group,Land Trust Alliance,Professional Affiliate,https://landtrustalliance.org/resources/connect/affiliates,,,
"Whatcom County, Conservation Easement Program",trade_group,Land Trust Alliance,Government Affiliation,https://landtrustalliance.org/resources/connect/affiliates,,,
Whiteman Osterman & Hanna LLP,trade_group,Land Trust Alliance,Professional Affiliate,https://landtrustalliance.org/resources/connect/affiliates,,,
"Willamette Wildlife Mitigation Program, Oregon Department of Fish & Wildlife",trade_group,Land Trust Alliance,Government Affiliation,https://landtrustalliance.org/resources/connect/affiliates,,,
Yale University Library,trade_group,Land Trust Alliance,Nonprofit Affiliate,https://landtrustalliance.org/resources/connect/affiliates,,,
Yamhill Soil and Water Conservation District,trade_group,Land Trust Alliance,Government Affiliation,https://landtrustalliance.org/resources/connect/affiliates,,,
